Classifier,Method,Unigrams,Negation,Class,Recall,Precision
MaxentClassifier,2step,ngram3,negtnTrue,Neg,0.731481481,0.649315068
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neg,0.725423729,0.622093023
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neg,0.734567901,0.64498645
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neg,0.727272727,0.642857143
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neg,0.790697674,0.674220963
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neg,0.707070707,0.63253012
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neg,0.734982332,0.63030303
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neg,0.761744966,0.635854342
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neg,0.781155015,0.644110276
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neg,0.750830565,0.656976744
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neg,0.708196721,0.640949555
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neg,0.73220339,0.666666667
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neg,0.719135802,0.675362319
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neg,0.676767677,0.659016393
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neg,0.777408638,0.686217009
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neg,0.67003367,0.658940397
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neg,0.699646643,0.634615385
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neg,0.731543624,0.648809524
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neg,0.756838906,0.676630435
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neg,0.707641196,0.657407407
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neg,0.691803279,0.674121406
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neg,0.718644068,0.650306748
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neg,0.740740741,0.683760684
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neg,0.703703704,0.657232704
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neg,0.750830565,0.678678679
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neg,0.730639731,0.678125
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neg,0.692579505,0.651162791
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neg,0.728187919,0.655589124
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neg,0.744680851,0.684357542
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neg,0.744186047,0.649275362
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neg,0.701639344,0.697068404
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neg,0.708474576,0.676375405
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neg,0.725308642,0.687134503
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neg,0.7003367,0.673139159
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neg,0.76744186,0.683431953
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neg,0.703703704,0.674193548
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neg,0.685512367,0.655405405
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neg,0.748322148,0.665671642
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neg,0.756838906,0.689750693
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neg,0.740863787,0.686153846
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neg,0.701639344,0.701639344
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neg,0.740740741,0.653950954
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neg,0.740740741,0.653950954
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neg,0.740740741,0.653950954
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neg,0.740740741,0.653950954
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neg,0.740740741,0.653950954
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neg,0.740740741,0.653950954
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neg,0.740740741,0.653950954
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neg,0.740740741,0.653950954
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neg,0.740740741,0.653950954
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neg,0.740740741,0.653950954
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neg,0.716049383,0.67638484
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neg,0.716049383,0.67638484
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neg,0.716049383,0.67638484
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neg,0.716049383,0.67638484
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neg,0.716049383,0.67638484
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neg,0.716049383,0.67638484
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neg,0.716049383,0.67638484
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neg,0.716049383,0.67638484
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neg,0.716049383,0.67638484
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neg,0.716049383,0.67638484
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neg,0.725308642,0.683139535
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neg,0.725308642,0.683139535
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neg,0.725308642,0.683139535
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neg,0.725308642,0.683139535
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neg,0.725308642,0.683139535
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neg,0.725308642,0.683139535
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neg,0.725308642,0.683139535
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neg,0.725308642,0.683139535
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neg,0.725308642,0.683139535
